시도별,경제활동별,명목,종합_시도별,종합_경제활동별,종합_명목,실질,기여도
전국,지역내총생산(시장가격),2165717327,전국,지역내총생산(시장가격),2165717327,,
전국,순생산물세,185985425,서울특별시,지역내총생산(시장가격),485747866,,
전국,총부가가치(기초가격),1979731902,부산광역시,지역내총생산(시장가격),104296833,,
전국,"농업, 임업 및 어업",35373235,대구광역시,지역내총생산(시장가격),63189445,,
전국,광제조업,556731967,인천광역시,지역내총생산(시장가격),104497088,,
전국,　광업,1984193,광주광역시,지역내총생산(시장가격),45220109,,
전국,　제조업,554747774,대전광역시,지역내총생산(시장가격),49565822,,
전국,　　음식료품 및 담배제조업,25626042,울산광역시,지역내총생산(시장가격),86255074,,
전국,　　섬유 의복 및 가죽 제품 제조업,13220972,세종특별자치시,지역내총생산(시장가격),14497052,,
전국,　　목재종이인쇄 및 복제업,15641021,경기도,지역내총생산(시장가격),546816496,,
전국,　　석탄 및 석유 화학제품 제조업,114025314,강원도,지역내총생산(시장가격),52530574,,
전국,　　비금속광물 및 금속제품 제조업,103182516,충청북도,지역내총생산(시장가격),79423941,,
전국,　　전기 전자 및 정밀기기 제조업,176890383,충청남도,지역내총생산(시장가격),128488050,,
전국,　　기계 운송장비 및 기타 제품 제조업,106161526,전라북도,지역내총생산(시장가격),57793375,,
전국,"전기, 가스, 증기 및 공기 조절 공급업",4142675,전라남도,지역내총생산(시장가격),90945726,,
전국,건설업,113147524,경상북도,지역내총생산(시장가격),115341457,,
전국,서비스업,1270336501,경상남도,지역내총생산(시장가격),120060310,,
전국,　도매 및 소매업,140891357,제주특별자치도,지역내총생산(시장가격),21048109,,
전국,　운수 및 창고업,72101201,,,,,
전국,　숙박 및 음식점업,50806210,,,,,
전국,　정보통신업,101719592,,,,,
전국,　금융 및 보험업,136725478,,,,,
전국,　부동산업,146818372,,,,,
전국,　사업서비스업,207583374,,,,,
전국,"　공공 행정, 국방 및 사회보장 행정",145522323,,,,,
전국,　교육 서비스업,102212198,,,,,
전국,　보건업 및 사회복지 서비스업,106302127,,,,,
전국,　문화 및 기타서비스업,59654269,,,,,
서울특별시,지역내총생산(시장가격),485747866,,,,,
서울특별시,순생산물세,43354515,,,,,
서울특별시,총부가가치(기초가격),442393351,,,,,
서울특별시,"농업, 임업 및 어업",254719,,,,,
서울특별시,광제조업,14421218,,,,,
서울특별시,　광업,15090,,,,,
서울특별시,　제조업,14406128,,,,,
서울특별시,　　음식료품 및 담배제조업,482904,,,,,
서울특별시,　　섬유 의복 및 가죽 제품 제조업,4829240,,,,,
서울특별시,　　목재종이인쇄 및 복제업,1919522,,,,,
서울특별시,　　석탄 및 석유 화학제품 제조업,1072079,,,,,
서울특별시,　　비금속광물 및 금속제품 제조업,925505,,,,,
서울특별시,　　전기 전자 및 정밀기기 제조업,3512864,,,,,
서울특별시,　　기계 운송장비 및 기타 제품 제조업,1664014,,,,,
서울특별시,"전기, 가스, 증기 및 공기 조절 공급업",1008538,,,,,
서울특별시,건설업,12969540,,,,,
서울특별시,서비스업,413739336,,,,,
서울특별시,　도매 및 소매업,64315322,,,,,
서울특별시,　운수 및 창고업,12656035,,,,,
서울특별시,　숙박 및 음식점업,12924789,,,,,
서울특별시,　정보통신업,63153657,,,,,
서울특별시,　금융 및 보험업,67319825,,,,,
서울특별시,　부동산업,44211158,,,,,
서울특별시,　사업서비스업,71038533,,,,,
서울특별시,"　공공 행정, 국방 및 사회보장 행정",18409210,,,,,
서울특별시,　교육 서비스업,21512001,,,,,
서울특별시,　보건업 및 사회복지 서비스업,24302905,,,,,
서울특별시,　문화 및 기타서비스업,13895901,,,,,
부산광역시,지역내총생산(시장가격),104296833,,,,,
부산광역시,순생산물세,8220647,,,,,
부산광역시,총부가가치(기초가격),96076186,,,,,
부산광역시,"농업, 임업 및 어업",315388,,,,,
부산광역시,광제조업,16334956,,,,,
부산광역시,　광업,6769,,,,,
부산광역시,　제조업,16328187,,,,,
부산광역시,　　음식료품 및 담배제조업,834383,,,,,
부산광역시,　　섬유 의복 및 가죽 제품 제조업,869030,,,,,
부산광역시,　　목재종이인쇄 및 복제업,371344,,,,,
부산광역시,　　석탄 및 석유 화학제품 제조업,1657895,,,,,
부산광역시,　　비금속광물 및 금속제품 제조업,5348092,,,,,
부산광역시,　　전기 전자 및 정밀기기 제조업,2414385,,,,,
부산광역시,　　기계 운송장비 및 기타 제품 제조업,4833058,,,,,
부산광역시,"전기, 가스, 증기 및 공기 조절 공급업",671262,,,,,
부산광역시,건설업,4886713,,,,,
부산광역시,서비스업,73867867,,,,,
부산광역시,　도매 및 소매업,7947566,,,,,
부산광역시,　운수 및 창고업,11836669,,,,,
부산광역시,　숙박 및 음식점업,3224367,,,,,
부산광역시,　정보통신업,1952731,,,,,
부산광역시,　금융 및 보험업,7032356,,,,,
부산광역시,　부동산업,8693400,,,,,
부산광역시,　사업서비스업,8712792,,,,,
부산광역시,"　공공 행정, 국방 및 사회보장 행정",6854934,,,,,
부산광역시,　교육 서비스업,6054320,,,,,
부산광역시,　보건업 및 사회복지 서비스업,8286979,,,,,
부산광역시,　문화 및 기타서비스업,3271753,,,,,
대구광역시,지역내총생산(시장가격),63189445,,,,,
대구광역시,순생산물세,4952794,,,,,
